person,cand_row,book,juan,sentence,source_file,alias_in_sentence
侯允,1452,後漢紀,027,亂之才由是徴拜議郎權爲青州刺史遷侍中尚書¶,data/raw/後漢紀/卷027.txt,
丁綝,1486,東觀漢記,015,涕歎息乃還就國兼射聲校尉(案范書本傳明帝永平/十三年鴻以侍中兼此)¶,data/raw/東觀漢記/卷015.txt,
丁鴻,1486,東觀漢記,015,涕歎息乃還就國兼射聲校尉(案范書本傳明帝永平/十三年鴻以侍中兼此)¶,data/raw/東觀漢記/卷015.txt,
桓譚,1491,東觀漢記,016,侍中兼領之正旦朝賀百僚畢㑹上令羣臣能說經者¶,data/raw/東觀漢記/卷016.txt,
刘般,1494,東觀漢記,017,憲嗣爵乃徵愷拜為郎稍遷侍中愷之入朝在位者莫¶,data/raw/東觀漢記/卷017.txt,
秦彭,1495,東觀漢記,018,嘉之賜布五百匹衣一襲拜侍中領騎都尉内備帷幄¶,data/raw/東觀漢記/卷018.txt,
曹褎,1495,東觀漢記,018,嘉之賜布五百匹衣一襲拜侍中領騎都尉内備帷幄¶,data/raw/東觀漢記/卷018.txt,
李育,1497,東觀漢記,018,李育字元春(案范書本傳/育扶風漆人)為侍中時章帝西謁園陵育¶,data/raw/東觀漢記/卷018.txt,
周儀,1764,隸釋,021,拜太中大夫復拜侍中屯騎校尉宗正光禄勲遂授¶,data/raw/隸釋/卷021.txt,
诸葛瑾,3,三國志,第七章:张顾诸葛步传,后为吴郡西部都尉，与诸葛恪等共平山越，别得精兵八千人，还屯军章坑，拜昭义中郎将，入为侍中。,data/raw/mirror/三國志/吴书/第七章-张顾诸葛步传.txt,
孙休,6,三國志,第三章:三嗣主传,“戊戌，诏曰：“大将军掌中外诸军事，事统烦多，其加卫将军御史大夫恩侍中，与大将军分省诸事。,data/raw/mirror/三國志/吴书/第三章-三嗣主传.txt,
张纮,11,三國志,第八章:张严程阚薛传,玄子尚，孙皓时为侍郎，以言语辩捷见知，擢为侍中、中书令。,data/raw/mirror/三國志/吴书/第八章-张严程阚薛传.txt,
秦松,11,三國志,第八章:张严程阚薛传,玄子尚，孙皓时为侍郎，以言语辩捷见知，擢为侍中、中书令。,data/raw/mirror/三國志/吴书/第八章-张严程阚薛传.txt,
秦松,12,三國志,第八章:张严程阚薛传,嘉禾中，为中书令，加侍中。,data/raw/mirror/三國志/吴书/第八章-张严程阚薛传.txt,
秦松,778,三國志,53,）孫皓時為侍郎，以言語辯捷見知，擢為侍中、中書令。,data/raw/三國志/卷53.txt,
陈端,12,三國志,第八章:张严程阚薛传,嘉禾中，为中书令，加侍中。,data/raw/mirror/三國志/吴书/第八章-张严程阚薛传.txt,
陈端,778,三國志,53,）孫皓時為侍郎，以言語辯捷見知，擢為侍中、中書令。,data/raw/三國志/卷53.txt,
刘繇,20,三國志,第四章:刘繇太史慈士燮传,繇兄岱，字公山，历位侍中，兖州刺史。,data/raw/mirror/三國志/吴书/第四章-刘繇太史慈士燮传.txt,
刘繇,773,三國志,49,）繇兄岱，字公山，歷位侍中，兗州刺史。,data/raw/三國志/卷49.txt,
