name_simple,status,in_db,in_card,person_id,dynasty_db,hits,strong,sample_book,sample_juan,sample_sentence,all_books
自诸曹,拟补_待审,N,N,,,6,0,全汉文,卷三十四.txt,）====私販賣====令近臣自諸曹侍中㠯上，家亡得私販賣，與民爭利。,全汉文;汉书
萌私忿,拟补_待审,N,N,,,6,0,后汉书,卷11.txt,萌私忿侍中，引下斬之，更始救請，不從。,后汉书
著作郎,拟补_待审,N,N,,,6,0,三国志,卷35.txt,臣壽等言：臣前在著作郎，侍中領中書監濟北侯臣荀勖、中書令關內侯臣和嶠奏：使臣定故蜀丞相諸葛亮故事。,三国志
虞子和,已在库,Y,Y,P0176,东汉,6,6,三国志,卷08.txt,）虞子和為侍中，在長安。,三国志;后汉书
衡都尉,拟补_待审,N,N,,,6,0,汉书,卷093.txt,帝嘉長義，拜爲列校尉諸曹，遷水衡都尉侍中，至衛尉九卿。,汉书
许相,已在库,Y,Y,P0181,东汉,6,4,全后汉文,卷九十五.txt,伏聞中常侍曹節、王甫、張讓等，及侍中許相，竝爲列矦。,全后汉文;后汉书
贺所子,拟补_待审,N,N,,,6,0,全汉文,卷六.txt,」封賀所子弟子侍中中郎將彭祖（注：《張安世傳》作「《詩》云︰『無言不讎，無德不報。,全汉文;汉书
车都尉,拟补_待审,N,N,,,6,0,汉书,卷068.txt,自昭帝時，光子禹及兄孫雲皆中郎將，雲弟山奉車都尉侍中，領胡越兵。,汉书
遣私署,拟补_待审,N,N,,,6,0,三国志,卷33.txt,謹遣私署侍中張紹、光祿大夫譙周、駙馬都尉鄧良奉繼印綬，請命告誠，敬輸忠款，存亡敕賜，惟所裁之。,三国志
黄门后,拟补_待审,N,N,,,6,0,后汉书,卷116.txt,誅黃門後，侍中、侍郎出入禁闈，機事頗露，由是王允乃奏比尚書，不得出入，不通賓客，自此始也。,后汉书
上拜涉,拟补_待审,N,N,,,5,5,汉书,第四十章-霍光金日磾传.txt,敞子涉本为左曹，上拜涉为侍中，使待幸绿车载送卫尉舍。,汉书
丕亦为,拟补_待审,N,N,,,5,0,后汉书,第十五章:卓鲁魏刘列传,时弟丕亦为侍中。,后汉书
侍郎为,拟补_待审,N,N,,,5,0,后汉书,卷116.txt,改給事黃門侍郎為侍中侍郎，去給事黃門之號，旋復復故。,后汉书
元中为,拟补_待审,N,N,,,5,0,后汉书,卷15.txt,===來歷===歷字伯珍，少襲爵，以公主子，永元中為侍中，監羽林右騎。,后汉书
元帝时,拟补_待审,N,N,,,5,2,后汉书,第二十三章-郭杜孔张廉王苏羊贾陆.txt,曾祖霸，元帝时为侍中。,后汉书
冀及诸,拟补_待审,N,N,,,5,0,全后汉文,卷四十八.txt,宜令步兵校尉冀及諸侍中還居黃門之官，使權去外戚，政歸國家，豈不休乎！,全后汉文;后汉书
再迁爲,拟补_待审,N,N,,,5,0,全后汉文,卷六十三.txt,桓帝時，徵博士，舉賢良方正，再遷爲侍中，拜五官中郎將，轉長水校尉，遷魏郡太守，徵拜大鴻臚，㠯病乞還。,全后汉文;后汉书
刘晔对,拟补_待审,N,N,,,5,2,三国志,第十二章-崔毛徐何邢鲍司马传.txt,”侍中刘晔对曰：“猎胜於乐。,三国志
匠薛皓,拟补_待审,N,N,,,5,0,后汉书,卷15.txt,歷乃要結光祿勛祋諷，宗正劉瑋，將作大匠薛皓，侍中閭丘弘、陳光、趙代、施延，太中大夫朱倀、第五頡，中散大夫曹成，諫議大夫李尤，符節令張敬，持書侍御史龔調，羽林右監孔顯，城門司馬徐崇，衛尉守丞樂闈，長樂、未央廄令鄭安世等十餘人，俱詣鴻都門證太子無過。,后汉书
卫尉弘,拟补_待审,N,N,,,5,0,汉书,卷098.txt,時太-{后}-從弟長樂衛尉弘子侍中音獨側聽，具知章言，以語鳳。,汉书
