book,juan,sentence,source_file,anon_label,note
蜀书,第八章-许麋孙简伊秦传,进用颍川荀爽、韩融、陈纪等为公、卿、郡守，拜尚书韩馥为冀州牧，侍中刘岱为兖州刺史，颍川张咨为南阳太守，陈留孔伷为豫州刺史，东郡张邈为陈留太守，而迁靖巴郡太守，不就，补御史中丞。,data/raw/mirror/三國志/蜀书/第八章-许麋孙简伊秦传.txt,有名待核,
魏书,第二十五章-辛毗杨阜高堂隆传,文帝问侍中刘晔等：“武都太守何如人也？,data/raw/mirror/三國志/魏书/第二十五章-辛毗杨阜高堂隆传.txt,有名待核,
魏书,第十六章-任苏杜郑仓传,每政有得失，常引纲维以正言，於是侍中辛毗等器重之。,data/raw/mirror/三國志/魏书/第十六章-任苏杜郑仓传.txt,有名待核,
魏书,第四章-少帝纪,正元元年冬十月壬辰，遣侍中持节分適四方，观风俗，劳士民，察冤枉失职者。,data/raw/mirror/三國志/魏书/第四章-少帝纪.txt,有名待核,
列传,第七十一章-循吏列传,董卓入洛阳，岱从侍中出为兗州刺史。,data/raw/mirror/後漢書/列传/第七十一章-循吏列传.txt,有名待核,
列传,第二十六章-梁统列传,商薨未及葬，顺帝乃拜冀为大将军，弟侍中不疑为河南尹。,data/raw/mirror/後漢書/列传/第二十六章-梁统列传.txt,佚名/待考,
列传,第五十章-杜栾刘李刘谢列传,及帝崩，大将军窦武欲大诛宦官，乃引瑜为侍中，又以侍中尹勋为尚书令，共同谋画。,data/raw/mirror/後漢書/列传/第五十章-杜栾刘李刘谢列传.txt,有名待核,
列传,第六十九章-袁绍刘表列传下,至许，果拜嵩侍中、零陵太守。,data/raw/mirror/後漢書/列传/第六十九章-袁绍刘表列传下.txt,佚名/待考,
列传,第六十九章-袁绍刘表列传下,初，表之结袁绍也，侍中从事邓义谏不听。,data/raw/mirror/後漢書/列传/第六十九章-袁绍刘表列传下.txt,有名待核,
列传,第六十九章-袁绍刘表列传下,义以疾退，终表世不仕，操以为侍中，其余多至大官。,data/raw/mirror/後漢書/列传/第六十九章-袁绍刘表列传下.txt,有名待核,
列传,第六十八章-袁绍刘表列传上,时，侍中周BC60、城门校尉伍琼为卓所信待，琼等阴为绍说卓曰：“夫废立大事，非常人所及。,data/raw/mirror/後漢書/列传/第六十八章-袁绍刘表列传上.txt,有名待核,
列传,第六十六章-董卓列传,以尚书韩馥为冀州刺史，侍中刘岱为兗州刺史，陈留孔亻由为豫州刺史，颍川张咨为南阳太守。,data/raw/mirror/後漢書/列传/第六十六章-董卓列传.txt,有名待核,
列传,第六十六章-董卓列传,既知不实，使侍中刘艾出让有司。,data/raw/mirror/後漢書/列传/第六十六章-董卓列传.txt,有名待核,
列传,第十三章-窦融列传,融小心，久不自安，数辞让爵位，因侍中金迁口达至诚。,data/raw/mirror/後漢書/列传/第十三章-窦融列传.txt,有名待核,
列传,第四十五章-崔骃列传,帝雅好文章，自见骃颂后，常嗟叹之，谓侍中窦宪曰：“卿宁知崔骃乎？,data/raw/mirror/後漢書/列传/第四十五章-崔骃列传.txt,有名待核,
列传,第四十八章-章帝八王列传,又遣中常侍奉太牢祠典，护礼仪侍中刘珍等及宗室列侯皆往会事。,data/raw/mirror/後漢書/列传/第四十八章-章帝八王列传.txt,有名待核,
本纪,第七章-孝顺孝冲孝质帝纪,深恐在所慢违'如在'之义，今遣侍中王辅等，持节分诣岱山、东海、荥阳、河、洛，尽心祈焉。,data/raw/mirror/後漢書/本纪/第七章-孝顺孝冲孝质帝纪.txt,有名待核,
本纪,第五章-孝和孝殇帝纪,冬十月乙亥，以侍中窦宪为车骑将军，伐北匈奴。,data/raw/mirror/後漢書/本纪/第五章-孝和孝殇帝纪.txt,有名待核,
本纪,第十二章-皇后纪下,三年，以后父侍中畅为长水校尉，封北宜春侯，食邑五千户。,data/raw/mirror/後漢書/本纪/第十二章-皇后纪下.txt,佚名/待考,
本纪,第十二章-皇后纪下,帝闻感怆，乃下诏迎姬，置园中，使侍中持节拜为弘农王妃。,data/raw/mirror/後漢書/本纪/第十二章-皇后纪下.txt,有名待核,
本纪,第十章-孝献帝纪,帝疑赋恤有虚，乃亲于御坐前量试作糜，乃知非实，使侍中刘艾出让有司。,data/raw/mirror/後漢書/本纪/第十章-孝献帝纪.txt,有名待核,
传,第五十六章-翟方进传,复以邑弟侍中王奇为扬武将军，城门将军赵恢为强弩将军，中郎将李棽为厌难将军，复将兵西。,data/raw/mirror/漢書/传/第五十六章-翟方进传.txt,有名待核,
传,第四十九章-盖诸葛刘郑孙毋将何传,丰案劾章，欲奉其事，适逢许侍中私出，丰驻车举节诏章曰：“下！,data/raw/mirror/漢書/传/第四十九章-盖诸葛刘郑孙毋将何传.txt,有名待核,
传,第四十九章-盖诸葛刘郑孙毋将何传,许侍中因得入宫门，自归上。,data/raw/mirror/漢書/传/第四十九章-盖诸葛刘郑孙毋将何传.txt,有名待核,
传,第四十章-霍光金日磾传,为书曰：“皇帝问侍中君卿：使中御府令高昌奉黄金千斤，赐君卿取十妻。,data/raw/mirror/漢書/传/第四十章-霍光金日磾传.txt,侍中君卿（佚姓）,
纪,第十二章-哀帝纪,二月，封帝太太后从弟侍中傅商为汝昌侯，太后同母弟子侍中郑业为阳信侯。,data/raw/mirror/漢書/纪/第十二章-哀帝纪.txt,有名待核,
表,第八章-百官公卿表上,仆射，秦官，自侍中、尚书、博士、郎皆有。,data/raw/mirror/漢書/表/第八章-百官公卿表上.txt,有名待核,
表,第八章-百官公卿表上,侍中、左右曹、诸吏、散骑、中常侍，皆加官，所加或列侯、将军、卿大夫、将、都尉、尚书、太医、太官令至郎中，亡员，多至数十人。,data/raw/mirror/漢書/表/第八章-百官公卿表上.txt,佚名/待考,
表,第八章-百官公卿表上,侍中、中常侍得入禁中，诸曹受尚书事，诸吏得举法，散骑骑并乘舆车。,data/raw/mirror/漢書/表/第八章-百官公卿表上.txt,有名待核,
