book,juan,source_kind,source_file,match_type,hint_name,sentence,status,person,role_note,reviewer,cand_row,pilot,review_note
漢書,019,wiki,data/raw/漢書/卷019.txt,含侍中,,|侍中水衡都尉金敞為衞尉，四年卒。,已录,金敞,,,1548,Y,
漢書,019,wiki,data/raw/漢書/卷019.txt,含侍中,,|大司徒司直金欽為京兆尹，一月為侍中。,已录,金钦,,,1564,Y,
漢書,036,wiki,data/raw/漢書/卷036.txt,含侍中,金,更生年少於望之、堪，然二人重之，薦更生宗室忠直，明經有行，擢為散騎宗正給事中，與侍中金敞拾遺於左右。,重复,金敞,,,1575,Y,
漢書,063,wiki,data/raw/漢書/卷063.txt,含侍中,,」侍中衛尉金安上上書言：「賀，天之所棄，陛下至仁，復封為列侯。,已录,金安上,,,1598,Y,
漢書,066,wiki,data/raw/漢書/卷066.txt,含侍中,金,霍氏謀反，惲先聞知，因侍中金安上以聞，召見言狀。,重复,金安上,,,1606,Y,
漢書,068,wiki,data/raw/漢書/卷068.txt,含侍中,金,平恩侯與侍中金安上等徑出入省中。,已录,金安上,,,1613,Y,
漢書,078,wiki,data/raw/漢書/卷078.txt,含侍中,,上聞之，使侍中成都侯金安上諭意曰：「所用皆更治民以考功。,已录,金安上,,,1643,Y,
漢書,078,wiki,data/raw/漢書/卷078.txt,含侍中,,」上以望之意輕丞相，乃下侍中建章衛尉金安上、光祿勳楊惲、御史中丞王忠，并詰問望之。,已录,金安上,,,1644,Y,
漢書,078,wiki,data/raw/漢書/卷078.txt,含侍中,金,望之選白宗室明經達學散騎諫大夫劉更生給事中，與侍中金敞並拾遺左右。,重复,金敞,,,1647,Y,
漢書,099上,wiki,data/raw/漢書/卷099上.txt,含侍中,金,久之，叔父成都侯商上書，願分戶邑以封莽，及長樂少府戴崇、侍中金涉、胡騎校尉箕閎、上谷都尉陽並、中郎陳湯，皆當世名士，咸為莽言，上由是賢莽。,已录,金涉,,,1707,Y,
