person,book,juan,sentence,source_file,title_persons
梁统,後漢書,第二十六章-梁统列传,商薨未及葬，顺帝乃拜冀为大将军，弟侍中不疑为河南尹。,data/raw/mirror/後漢書/列传/第二十六章-梁统列传.txt,梁统
梁统,後漢書,第二十六章-梁统列传,冒名而为侍中、卿、校尉、郡守、长吏者十余人，皆贪叨凶淫，各遣私客籍属县富人，被以它罪，闭狱掠拷，使出钱自赎，资物少者至于死徙。,data/raw/mirror/後漢書/列传/第二十六章-梁统列传.txt,梁统
李杜,後漢書,第五十七章-李杜列传,宜令步兵校尉冀及诸侍中还居黄门之官，使权去外戚，政归国家，岂不休乎！,data/raw/mirror/後漢書/列传/第五十七章-李杜列传.txt,李杜
李杜,後漢書,第五十七章-李杜列传,又诏书所以禁侍中尚书中臣子弟不得为吏察孝廉者，以其秉戚权，容请托故也。,data/raw/mirror/後漢書/列传/第五十七章-李杜列传.txt,李杜
李杜,後漢書,第五十七章-李杜列传,一日朝会，见诸侍中并皆年少，无一宿儒大人可顾问者，诚可叹息。,data/raw/mirror/後漢書/列传/第五十七章-李杜列传.txt,李杜
李杜,後漢書,第五十七章-李杜列传,侍中杜乔，学深行直，当世良臣，久托疾病，可敕令起。,data/raw/mirror/後漢書/列传/第五十七章-李杜列传.txt,李杜
李杜,後漢書,第五十七章-李杜列传,稍迁为南郡太守，转东海相，入拜侍中。,data/raw/mirror/後漢書/列传/第五十七章-李杜列传.txt,李杜
皇甫张,後漢書,第五十九章-皇甫张段列传,军至，拜侍中，转执金吾河南尹。,data/raw/mirror/後漢書/列传/第五十九章-皇甫张段列传.txt,皇甫张
张衡,後漢書,第五十二章-张衡列传,往者侍中贾逵摘谶互异三十余事，诸言谶者皆不能说。,data/raw/mirror/後漢書/列传/第五十二章-张衡列传.txt,张衡
张衡,後漢書,第五十二章-张衡列传,后迁侍中，帝引在帷幄，讽议左右。,data/raw/mirror/後漢書/列传/第五十二章-张衡列传.txt,张衡
张衡,後漢書,第五十二章-张衡列传,及为侍中，上疏请得专事东观，收捡遗文，毕力补缀。,data/raw/mirror/後漢書/列传/第五十二章-张衡列传.txt,张衡
左周,後漢書,第五十五章-左周黄列传,时，诏遣八使巡行风俗，皆选素有威名者，乃拜举为侍中，与侍中杜乔、守光禄大夫周栩、前青州刺史冯羡、尚书栾巴、侍御史张纲、兗州刺史郭遵、太尉长史刘班，并守光禄大夫，分行天下。,data/raw/mirror/後漢書/列传/第五十五章-左周黄列传.txt,左周
左周,後漢書,第五十五章-左周黄列传,至光和末，大尉杨赐上书荐琬有拨乱之才，由是征拜议郎，擢为青州刺史，迁侍中。,data/raw/mirror/後漢書/列传/第五十五章-左周黄列传.txt,左周
蔡邕,後漢書,第五十四章-蔡邕列传下,侍中祭酒乐松、贾护，多引无行趣势之徒，并待制鸿都门下，熹陈方俗闾里小事，帝甚悦之，待以不次之位。,data/raw/mirror/後漢書/列传/第五十四章-蔡邕列传下.txt,蔡邕
蔡邕,後漢書,第五十四章-蔡邕列传下,其诸生皆敕州郡三公举用辟召，或出为刺史、太守，入为尚书、侍中，乃有封侯赐爵者，士君子皆耻与为列焉。,data/raw/mirror/後漢書/列传/第五十四章-蔡邕列传下.txt,蔡邕
蔡邕,後漢書,第五十四章-蔡邕列传下,迁巴郡太守，复留为侍中。,data/raw/mirror/後漢書/列传/第五十四章-蔡邕列传下.txt,蔡邕
窦何,後漢書,第六十三章-窦何列传,子机渭阳侯拜侍中；,data/raw/mirror/後漢書/列传/第六十三章-窦何列传.txt,窦何
窦何,後漢書,第六十三章-窦何列传,绍弟靖西乡侯，为侍中，监羽林左骑。,data/raw/mirror/後漢書/列传/第六十三章-窦何列传.txt,窦何
窦何,後漢書,第六十三章-窦何列传,武于是引同志尹勋为尚书令，刘瑜为侍中，冯述为屯骑校尉；,data/raw/mirror/後漢書/列传/第六十三章-窦何列传.txt,窦何
