cand_row,book,juan,sentence,person,status,note
533,漢書,第四十章:霍光金日磾传,上奇焉，即日赐汤沐衣冠，拜为马监，迁侍中、驸马都尉、光禄大夫。,,待审,
534,漢書,第四十章:霍光金日磾传,日磾两子，赏、建，俱侍中，与昭帝略同年，共卧起。,,待审,
535,漢書,第四十章:霍光金日磾传,安上字子侯，少为侍中，惇笃有智，宣帝爰之。,,待审,
537,漢書,第四十章:霍光金日磾传,敞子涉本为左曹，上拜涉为侍中，使待幸绿车载送卫尉舍。,,待审,
538,漢書,第四十章:霍光金日磾传,成帝时为侍中、骑都尉，领三辅胡、越骑。,,待审,
539,漢書,第四十章:霍光金日磾传,涉两子，汤、融，皆侍中、诸曹、将、大夫。,,待审,
540,漢書,第四十章:霍光金日磾传,徙光禄大夫、侍中，秩中二千石，封都成侯。,,待审,
541,漢書,第四十章:霍光金日磾传,时，王莽新诛平帝外家卫氏，召明礼少府宗伯凤入说为人后之宜，白令公卿、将军、侍中、朝臣并听，欲以内厉平帝而外塞百姓之议。,,待审,
545,漢書,第九章:天文志,四年，故大将军霍光夫人显、将军霍禹、范明友、奉车霍山及诸昆弟宾婚为侍中、诸曹、九卿、郡守皆谋反，咸伏其辜。,,待审,
547,漢書,第十一章:五行志中之上,永光二年，阳平顷侯禁薨，子凤嗣侯，为侍中卫尉。,,待审,
566,漢書,第十章:元帝纪,赞曰：臣外祖兄弟为元帝侍中，语臣曰：元帝多材艺，善史书。,,待审,
567,漢書,第八章:百官公卿表上,仆射，秦官，自侍中、尚书、博士、郎皆有。,,待审,
568,漢書,第八章:百官公卿表上,侍中、左右曹、诸吏、散骑、中常侍，皆加官，所加或列侯、将军、卿大夫、将、都尉、尚书、太医、太官令至郎中，亡员，多至数十人。,,待审,
569,漢書,第八章:百官公卿表上,侍中、中常侍得入禁中，诸曹受尚书事，诸吏得举法，散骑骑并乘舆车。,,待审,
1506,漢書,009,贊曰：臣外祖兄弟為元帝侍中，語臣曰元帝多材藝，善史書。,,待审,
1529,漢書,019,僕射，秦官，自侍中、尚書、博士、郎皆有。,,待审,
1530,漢書,019,侍中、左右曹、諸吏、散騎、中常侍，皆加官，（注：應劭曰：「入侍天子，故曰侍中。,,待审,
1531,漢書,019,侍中、中常侍得入禁中，諸曹受尚書事，諸吏得舉法，散騎騎並乘輿車。,,待审,
1550,漢書,019,|少府師丹為光祿勳，二年遷侍中光祿大夫。,,待审,
1551,漢書,019,詹事許商為少府，二年為侍中光祿大夫。,,待审,
1553,漢書,019,|侍中光祿大夫趙彪大伯為侍中水衡都尉，三年卒。,,待审,
1564,漢書,019,|大司徒司直金欽為京兆尹，一月為侍中。,,待审,
1568,漢書,026,四年，故大將軍霍光夫人顯、將軍霍禹、范明友、奉車霍山及諸昆弟賓婚為侍中、諸曹、九卿、郡守皆謀反，咸伏其辜。,,待审,
1569,漢書,027,永光二年，陽平頃侯禁薨，子鳳嗣侯，為侍中衛尉。,,待审,
1578,漢書,036,哀帝初即位，大司馬王莽舉歆宗室有材行，為侍中太中大夫，遷騎都尉、奉車光祿大夫，貴幸。,,待审,
1581,漢書,047,梁之侍中、郎、謁者著引籍出入天子殿門，與漢宦官亡異。,,待审,
1582,漢書,050,大將軍青侍中，上踞廁視之。,,待审,
1586,漢書,054,初，武與李陵俱爲侍中，武使匈奴明年，陵降，不敢求武。,,待审,
1588,漢書,055,去病以皇后姊子，年十八為侍中。,,待审,
1589,漢書,055,然少而侍中，貴不省士。,,待审,
1590,漢書,055,荀彘，太原廣武人，以御見，侍中，用校尉數從大將軍。,,待审,
1593,漢書,059,放為侍中、中郎將，監平樂屯兵，置莫府，儀比將軍。,,待审,
1595,漢書,059,後復徵放為侍中光祿大夫，秩中二千石。,,待审,
1596,漢書,059,」及禹誅滅，而安世子孫相繼，自宣、元以來為侍中、中常侍、諸曹散騎、列校尉者凡十餘人。,,待审,
1601,漢書,064上,始買臣與嚴助俱侍中，貴用事，湯尚爲小吏，趨走買臣等前。,,待审,
1602,漢書,064上,遷侍中中郎，坐法免。,,待审,
1612,漢書,068,自昭帝時，光子禹及兄孫雲皆中郎將，雲弟山奉車都尉侍中，領胡越兵。,,待审,
1614,漢書,068,上竒焉，即日賜湯沐衣冠，拜爲馬監，遷侍中駙馬都尉光祿大夫。,,待审,
1615,漢書,068,日磾兩子，賞、建，俱侍中，與昭帝略同年，共卧起。,,待审,
1616,漢書,068,安上字子侯，少爲侍中，惇篤有智，宣帝愛之。,,待审,
1618,漢書,068,」）敞子涉本爲左曹，上拜涉爲侍中，使待幸綠車載送衞尉舍。,,待审,
1619,漢書,068,臨敞病困，拜子爲侍中，以此車送，欲敞見其榮寵也。,,待审,
1622,漢書,068,徙光祿大夫侍中，秩中二千石，封都成侯。,,待审,
1623,漢書,068,」）入說爲人後之誼，白令公卿、將軍、侍中、朝臣並聽，（注：師古曰：「白令皆聽之。,,待审,
1624,漢書,069,上乃拜侍中樂成侯許延壽爲強弩將軍，即拜酒泉太守武賢爲破羌將軍，賜璽書嘉納其冊。,,待审,
