person,n_evidence,books,sample,aliases
郑文信,1,三國志,馮翊甲族桓、田、吉、郭及故侍中鄭文信等，頗以其各有器實，共紀識之。,
李仁,1,三國志,（注：吳平後，晉侍中庾峻等問皓侍中李仁曰：「聞吳主披人面，刖人足，有諸乎？,
贺纯,1,三國志,齐伯父纯，儒学有重名，汉安帝时为侍中、江夏太守，去官，与江夏黄琼、〔广汉〕杨厚俱公车徵。,
邓义,1,全後漢文,侍中鄧義㠯爲不然而難之，彧令統荅焉。,
霍光,1,全漢文,㠯一通賜所幸侍中霍光，光甚好之，言爲口實。,
王闳,1,全漢文,{{*|荀悅《漢紀》二十九︰「【元壽元年】，侍中王閎上書諫，不從。,
马何罗,1,前漢紀,殺侍中僕射馬何羅與弟重合侯通謀反侍中駙馬¶,
许延寿,1,前漢紀,亦未可圖也上乃拜侍中許延壽爲強弩將軍即拜¶,
王接,1,前漢紀,玄成爲御史大夫九月戊子侍中衛尉王接爲大司¶,
王音,1,前漢紀,時鳳弟侍中王音私聽之告鳳鳳懼稱病就第乃上¶,
金迁,1,後漢紀,上愈親厚之融久不自安數辭讓爵位因侍中金遷¶,
张衡,1,後漢紀,餘級叛者乞降是時朝政多僻競崇侈靡侍中張衡¶,
刘淑,1,後漢紀,僕杜密尚書荀緄朱㝢魏朗侍中劉淑劉瑜左中郎¶,刘瑜
刘和,1,後漢紀,歸使侍中劉和出關詣其父太傅劉虞令將兵來迎¶,
史恃,1,後漢紀,千級詔使侍中史恃太㒒韓融告張濟曰朕惟宗廟¶,
郗虑,1,後漢紀,將兵於河上八月辛卯侍中郗慮尚書令荀彧司隷¶,
荀悦,1,後漢紀,封操萬三千戶平幽兾之功也八月侍中荀悅撰政¶,
冯石,1,東觀漢記,馮石(案石魴子/柱次子)襲母公主封獲嘉侯亦為侍中稍遷衛¶,
郑業,1,漢書,二月，封帝太太后從弟侍中傅商為汝昌侯，太后同母弟子侍中鄭業為陽信侯。,
公孙敬聲,1,漢書,|侍中公孫敬聲為太僕，十二年下獄死。,
金赏,1,漢書,|秺侯金賞為侍中太僕，七年遷。,
王能,1,漢書,衞尉王能為侍中光祿勳，二年貶為弘農，坐呂寬自殺。,
王逸碑,1,隸釋,漢侍中王逸碑(南三里在宜城縣)¶,
