person,cand_row,book,juan,sentence,source_file,alias_in_sentence
王望,180,後漢書,第三十一章:刘赵淳于江刘周赵列传,平再迁侍中，永平三年，拜宗正，数荐达名士承宫、郇恁等。,data/raw/mirror/後漢書/列传/第三十一章-刘赵淳于江刘周赵列传.txt,
王望,1240,後漢書,39,平再遷侍中，【永平三年】，拜宗正，數薦達名士承宮、郇恁等。,data/raw/後漢書/卷39.txt,
赵孝,181,後漢書,第三十一章:刘赵淳于江刘周赵列传,永平中，辟太尉府，显宗素闻其行，诏拜谏议大夫，迁侍中，又迁长乐卫尉。,data/raw/mirror/後漢書/列传/第三十一章-刘赵淳于江刘周赵列传.txt,
赵孝,1241,後漢書,39,永平中，辟太尉府，顯宗素聞其行，詔拜諫議大夫，遷侍中，又遷長樂衛尉。,data/raw/後漢書/卷39.txt,
江革,182,後漢書,第三十一章:刘赵淳于江刘周赵列传,引见极日，访以政事，迁侍中骑都尉，礼待甚优。,data/raw/mirror/後漢書/列传/第三十一章-刘赵淳于江刘周赵列传.txt,
江革,1242,後漢書,39,引見極日，訪以政事，遷侍中騎都尉，禮待甚優。,data/raw/後漢書/卷39.txt,
江革,1495,東觀漢記,018,嘉之賜布五百匹衣一襲拜侍中領騎都尉内備帷幄¶,data/raw/東觀漢記/卷018.txt,
施延,189,後漢書,第三十九章:郭陈列传,书御，有诏拜有道高第士沛国施延为侍中，延后位至太尉。,data/raw/mirror/後漢書/列传/第三十九章-郭陈列传.txt,
施延,1260,後漢書,46,」書御，有詔拜有道高第士沛國施延為侍中，延後位至太尉。,data/raw/後漢書/卷46.txt,
杨厚,200,後漢書,第二十一章:苏竟杨厚列传上,时统为侍中，厚随在京师。,data/raw/mirror/後漢書/列传/第二十一章-苏竟杨厚列传上.txt,
杨厚,1200,後漢書,30上,時統為侍中，厚隨在京師。,data/raw/後漢書/卷30上.txt,
步兵校,215,後漢書,第二十九章:桓荣丁鸿列传,永初元年，入授安帝，三迁为侍中步兵校尉。,data/raw/mirror/後漢書/列传/第二十九章-桓荣丁鸿列传.txt,
郑弘,220,後漢書,第二十五章:朱冯虞郑周列传,出为平原相，征拜侍中。,data/raw/mirror/後漢書/列传/第二十五章-朱冯虞郑周列传.txt,
郑弘,1211,後漢書,33,出為平原相，徵拜侍中。,data/raw/後漢書/卷33.txt,
张霸,224,後漢書,第二十八章:郑范陈贾张列传,位至侍中，以老病乞身，帝赐以大夫禄，归乡里。,data/raw/mirror/後漢書/列传/第二十八章-郑范陈贾张列传.txt,
张霸,225,後漢書,第二十八章:郑范陈贾张列传,后征，四迁为侍中。,data/raw/mirror/後漢書/列传/第二十八章-郑范陈贾张列传.txt,
阴识,232,後漢書,第二十四章:樊宏阴识列传,迁侍中，以母忧辞归。,data/raw/mirror/後漢書/列传/第二十四章-樊宏阴识列传.txt,
杜乔,242,後漢書,第五十七章:李杜列传,稍迁为南郡太守，转东海相，入拜侍中。,data/raw/mirror/後漢書/列传/第五十七章-李杜列传.txt,
杜乔,1303,後漢書,61,時詔遣八使巡行風俗，皆選素有威名者，乃拜舉為侍中，舉侍中杜喬、守光祿大夫周栩、前青州刺史馮羨、尚書欒巴、侍御史張綱、兗州刺史郭遵、太尉長史劉班並守光祿大夫，分行天下。,data/raw/後漢書/卷61.txt,
杜乔,1312,後漢書,63,稍遷為南郡太守，轉東海相，入拜侍中。,data/raw/後漢書/卷63.txt,
是正文,257,後漢書,第五十章:杜栾刘李刘谢列传,以所举将为尚书，难与齐列，乞从冗散，拜侍中。,data/raw/mirror/後漢書/列传/第五十章-杜栾刘李刘谢列传.txt,
是正文,1290,後漢書,57,以所舉將為尚書，難與齊列，乞從冗散，拜侍中。,data/raw/後漢書/卷57.txt,
谢弼,259,後漢書,第五十章:杜栾刘李刘谢列传,勋后再迁至九卿，以病免，拜为侍中。,data/raw/mirror/後漢書/列传/第五十章-杜栾刘李刘谢列传.txt,
谢弼,1292,後漢書,57,勳後再遷至九卿，以病免，拜為侍中。,data/raw/後漢書/卷57.txt,
董扶,264,後漢書,第八十章:方术列传下,稍迁侍中。,data/raw/mirror/後漢書/列传/第八十章-方术列传下.txt,
董扶,1380,後漢書,82下,稍遷侍中。,data/raw/後漢書/卷82下.txt,
董扶,738,三國志,31,」於是靈帝徵扶，即拜侍中。,data/raw/三國志/卷31.txt,
郭玉者,265,後漢書,第八十章:方术列传下,灵帝时，大将军何进荐扶，征拜侍中，甚见器重。,data/raw/mirror/後漢書/列传/第八十章-方术列传下.txt,
郭玉者,1381,後漢書,82下,靈帝時，大將軍何進薦扶，徵拜侍中，甚見器重。,data/raw/後漢書/卷82下.txt,
李膺,267,後漢書,第六十一章:党锢列传,又再迁侍中、虎贲中郎将。,data/raw/mirror/後漢書/列传/第六十一章-党锢列传.txt,
李膺,1318,後漢書,67,又再遷侍中、虎賁中郎將。,data/raw/後漢書/卷67.txt,
贾彪,268,後漢書,第六十一章:党锢列传,察孝廉，举高第，三迁侍中。,data/raw/mirror/後漢書/列传/第六十一章-党锢列传.txt,
贾彪,1319,後漢書,67,」）察孝廉，舉高第，三遷侍中。,data/raw/後漢書/卷67.txt,
何进,273,後漢書,第六十三章:窦何列传,光和三年，贵人立为皇后，征进入，拜侍中、将作大匠、河南尹。,data/raw/mirror/後漢書/列传/第六十三章-窦何列传.txt,
朱俊,277,後漢書,第六十五章:皇甫嵩朱俊列传,坚寿亦显名，后为侍中，辞不拜，病卒。,data/raw/mirror/後漢書/列传/第六十五章-皇甫嵩朱俊列传.txt,
刘植,297,後漢書,第十一章:任李万邳刘耿列传,复为左曹侍中，常从征伐。,data/raw/mirror/後漢書/列传/第十一章-任李万邳刘耿列传.txt,
刘植,1168,後漢書,21,復為左曹侍中，常從征伐。,data/raw/後漢書/卷21.txt,
张湛,298,後漢書,第十七章:宣张二王杜郭吴承郑赵,更始即位，征为侍中。,data/raw/mirror/後漢書/列传/第十七章-宣张二王杜郭吴承郑赵.txt,
张湛,302,後漢書,第十七章:宣张二王杜郭吴承郑赵,更始即位，征为侍中。,data/raw/mirror/後漢書/列传/第十七章-宣张二王杜郭吴承郑赵.txt,
张湛,1192,後漢書,27,更始即位，征為侍中。,data/raw/後漢書/卷27.txt,
赵典,300,後漢書,第十七章:宣张二王杜郭吴承郑赵,建和初，四府表荐，征拜议郎，侍讲禁内，再迁为侍中。,data/raw/mirror/後漢書/列传/第十七章-宣张二王杜郭吴承郑赵.txt,
赵典,304,後漢書,第十七章:宣张二王杜郭吴承郑赵,建和初，四府表荐，征拜为议郎，侍讲宫中，再迁为侍中。,data/raw/mirror/後漢書/列传/第十七章-宣张二王杜郭吴承郑赵.txt,
赵典,1194,後漢書,27,建和初，四府表薦，征拜議郎，侍講禁內，再遷為侍中。,data/raw/後漢書/卷27.txt,
傅俊,311,後漢書,第十二章:朱景王杜马刘傅坚马列,世祖即位，以俊为侍中。,data/raw/mirror/後漢書/列传/第十二章-朱景王杜马刘傅坚马列.txt,
傅俊,1169,後漢書,22,世祖即位，以俊為侍中。,data/raw/後漢書/卷22.txt,
马武,312,後漢書,第十二章:朱景王杜马刘傅坚马列,世祖即位，以武为侍中、骑都尉，封山都侯。,data/raw/mirror/後漢書/列传/第十二章-朱景王杜马刘傅坚马列.txt,
马武,1170,後漢書,22,世祖即位，以武為侍中、騎都尉，封山都侯。,data/raw/後漢書/卷22.txt,
乔卿,320,後漢書,第十五章:卓鲁魏刘列传,十三年，迁为侍中，免。,data/raw/mirror/後漢書/列传/第十五章-卓鲁魏刘列传.txt,
乔卿,321,後漢書,第十五章:卓鲁魏刘列传,永初二年，诏公卿举儒术笃学者，大将军邓骘举丕，再迁，复为侍中、左中郎将，再为三老。,data/raw/mirror/後漢書/列传/第十五章-卓鲁魏刘列传.txt,
乔卿,1185,後漢書,25,十三年，遷為侍中，免。,data/raw/後漢書/卷25.txt,
乔卿,1186,後漢書,25,【永初二年】，詔公卿舉儒術篤學者，大將軍鄧騭舉丕，再遷，復為侍中、左中郎將，再為三老。,data/raw/後漢書/卷25.txt,
刘宽,322,後漢書,第十五章:卓鲁魏刘列传,迁侍中，赐衣一袭。,data/raw/mirror/後漢書/列传/第十五章-卓鲁魏刘列传.txt,
蔡茂,326,後漢書,第十六章:伏侯宋蔡冯赵牟韦列传,哀、平间以儒学显，征试博士，对策陈灾异，以高等擢拜议郎，迁侍中。,data/raw/mirror/後漢書/列传/第十六章-伏侯宋蔡冯赵牟韦列传.txt,
蔡茂,1190,後漢書,26,哀、平間以儒學顯，徵試博士，對策陳災異，以高等擢拜議郎，遷侍中。,data/raw/後漢書/卷26.txt,
赵憙,327,後漢書,第十六章:伏侯宋蔡冯赵牟韦列传,卯延光中为侍中，薨，子留嗣。,data/raw/mirror/後漢書/列传/第十六章-伏侯宋蔡冯赵牟韦列传.txt,
赵憙,1191,後漢書,26,卯延光中為侍中，薨，子留嗣。,data/raw/後漢書/卷26.txt,
李法,329,後漢書,第四十一章:杨李翟应霍爰徐列传,除博士，迁侍中、光禄大夫。,data/raw/mirror/後漢書/列传/第四十一章-杨李翟应霍爰徐列传.txt,
李法,330,後漢書,第四十一章:杨李翟应霍爰徐列传,仕郡，征拜议郎，迁侍中。,data/raw/mirror/後漢書/列传/第四十一章-杨李翟应霍爰徐列传.txt,
李法,1262,後漢書,48,和帝【永元九年】，應賢良方正對策，除愽士，遷侍中、光祿大夫。,data/raw/後漢書/卷48.txt,
李法,1263,後漢書,48,仕郡，徵拜議郎，遷侍中。,data/raw/後漢書/卷48.txt,
