term_id,person_id,name,dynasty_primary,start_ym,end_ym,start_year,end_year,nature,nature_primary,evidence,book,juan,quote_head
16024,P0119,杨琦,,阙,阙,,,有明文,,有明文,三國志,卷6,使侍中楊琦高舉車帷
16025,P0119,杨琦,,阙,阙,,,有明文,,有明文,後漢紀,卷28,侍中楊琦上封事曰傕邊鄙之人習於夷風
16026,P0120,杨秉,,阙,阙,,,有明文,,有明文,後漢書,卷84杨震传,桓帝即位，以明《尚書》徵入勸講……遷侍中、尚書
16027,P0120,杨秉,,阙,阙,,,有明文,,有明文,後漢書,卷84,楊秉字叔節，弘農華陰人也
16028,P0121,杨统,,阙,阙,,,有明文,,有明文,後漢書,卷50上,時統爲侍中，厚隨在京師
16029,P0122,杨赐,,阙,阙,,,有明文,,有明文,後漢書,卷84,後以司空高第，再遷侍中、越騎校尉
16030,P0122,杨赐,,阙,阙,,,有明文,,有明文,後漢書,卷84,楊賜字伯獻
16031,P0123,桑弘羊,,阙,阙,,,有明文,,有明文,史記,卷三十平準書,弘羊，雒陽賈人子，以心計，年十三侍中
16032,P0124,桓郁,,阙,阙,,,有明文,,有明文,後漢書,37,一二五五頁一行以侍中監虎賁中郎將按：刊誤謂漢無監虎賁官，蓋是「兼」字，與丁鴻同也
16033,P0124,桓郁,,阙,阙,,,有明文,,有明文,東觀漢記,016,禮讓甚見親厚郁以永平十四年為議郎遷侍中上自¶
16034,P0125,楼望,,阙,阙,,,有明文,,有明文,後漢書,卷109儒林下,永平初，爲侍中、越騎校尉，入講省內
16035,P0126,欧阳地余,,阙,阙,,,有明文,,有明文,漢書,088,元帝即位，地餘侍中，貴幸，至少府
16036,P0127,江革,,阙,阙,,,有明文,,有明文,後漢書,第三十一章:刘赵淳于江刘周赵列传,引见极日，访以政事，迁侍中骑都尉，礼待甚优
16037,P0127,江革,,阙,阙,,,有明文,,有明文,後漢書,39,引見極日，訪以政事，遷侍中騎都尉，禮待甚優
16038,P0127,江革,,阙,阙,,,有明文,,有明文,東觀漢記,018,嘉之賜布五百匹衣一襲拜侍中領騎都尉内備帷幄¶
16039,P0128,淳于恭,,阙,阙,,,有明文,,有明文,後漢書,第三十一章:刘赵淳于江刘周赵列传,引见极日，访以政事，迁侍中骑都尉，礼待甚优
16040,P0129,淳于长,,阙,阙,,,有明文,,有明文,漢書,卷93佞幸传,帝嘉長義，拜為列校尉諸曹，遷水衡都尉侍中，至衛尉九卿
16041,P0129,淳于长,,阙,阙,,,有明文,,有明文,漢書,卷93,侍中衛尉長數白宜止徙家反故處
16042,P0129,淳于长,,阙,阙,,,有明文,,有明文,漢書,卷97下外戚传,太后姊子淳于長爲侍中，數往來傳語，得太后指
16043,P0130,爰延,,阙,阙,,,有明文,,有明文,後漢書,卷78杨李翟应霍爰徐传,爰延字季平……再遷爲侍中
16044,P0130,爰延,,阙,阙,,,有明文,,有明文,後漢書,卷78,今侍中面稱朕違，敬聞闕矣
16045,P0131,王允,,阙,阙,,,有明文,,有明文,後漢書,卷96王允传,王允字子師，太原祁人也
16046,P0131,王允,,阙,阙,,,有明文,,有明文,後漢書,卷96,與呂布誅卓……允乃自比陳蕃、竇武
16047,P0131,王允,,阙,阙,,,有明文,,有明文,後漢書,卷72董卓傳,侍中黃門不得出入
16048,P0132,王况,,阙,阙,,,有明文,,有明文,漢書,第七十四章:元后传,及根兄子成都侯况幸得以外亲继父为列侯侍中，不思报厚恩，亦聘取故掖庭贵人以为妻，皆无人臣礼，大不敬不道
16049,P0132,王况,,阙,阙,,,有明文,,有明文,漢書,098,及根兄子成都侯況幸得以外親繼父為列侯侍中，不思報厚恩，亦聘取故掖庭貴人以為妻，皆無人臣禮，大不敬不道
16050,P0133,王凤,,阙,阙,,,有明文,,有明文,漢書,第七十四章:元后传,长子凤嗣侯，为卫尉侍中，皇后自有子后，希复进见
16051,P0133,王凤,,阙,阙,,,有明文,,有明文,漢書,098,長子鳳嗣侯，為衛尉侍中，皇-{后}-自有子後，希復進見
16052,P0134,王去疾,,阙,阙,,,有明文,,有明文,漢書,卷九十三佞幸傳,唯平阿侯譚子去疾，哀帝爲太子時爲庶子得幸，及即位，爲侍中、騎都尉
16053,P0136,王商,,阙,阙,,,有明文,,有明文,史記,022,|右將軍平恩侯許嘉為車騎將軍，侍中、光祿大夫樂昌侯王商為右將軍，右將軍馮奉世為左將軍
16054,P0137,王奇,,阙,阙,,,有明文,,有明文,漢書,第五十六章:翟方进传,复以邑弟侍中王奇为扬武将军，城门将军赵恢为强弩将军，中郎将李棽为厌难将军，复将兵西
16055,P0137,王奇,,阙,阙,,,有明文,,有明文,漢書,084,復以邑弟侍中王奇為揚武將軍，城門將軍趙恢為彊弩將軍，中郎將李棽為厭難將軍，復將兵西
16056,P0138,王忽,,阙,阙,,,有明文,,有明文,漢書,卷六十八霍光金日磾傳,時衛尉王莽子男忽侍中，揚語曰：『帝崩，忽常在左右，安得遺詔封三子事！』
16057,P0139,王接,,阙,阙,,,有明文,,有明文,前漢紀,022,玄成爲御史大夫九月戊子侍中衛尉王接爲大司¶
16058,P0140,王方,,阙,阙,,,有明文,,有明文,後漢書,卷五十五卓魯魏劉傳,恭薦中牟名士王方……方致位侍中
16059,P0141,王望,,阙,阙,,,有明文,,有明文,漢書,第七十七章:王莽传下,中黄门各拔刃将忠等送庐，忠拔剑欲自刎，侍中王望传言大司马反，黄门持剑共格杀之
16060,P0141,王望,,阙,阙,,,有明文,,有明文,漢書,099下,中黃門各拔刃將忠等送廬，忠拔劍欲自刎，侍中王望傳言大司馬反，黃門持劍共格殺之
16061,P0142,王林卿,,阙,阙,,,有明文,,有明文,漢書,第四十九章:盖诸葛刘郑孙毋将何传,初，邛成太后外家王氏贵，而侍中王林卿通轻侠，倾京师
16062,P0142,王林卿,,阙,阙,,,有明文,,有明文,漢書,第四十九章:盖诸葛刘郑孙毋将何传,“故侍中王林卿坐杀人埋冢舍，使奴剥寺门鼓
16063,P0142,王林卿,,阙,阙,,,有明文,,有明文,全漢文,卷五十五,故侍中王林卿坐殺人埋冢舍，使奴剝寺門鼓
16064,P0142,王林卿,,阙,阙,,,有明文,,有明文,漢書,077,初，邛成太后外家王氏貴，而侍中王林卿通輕俠，傾京師
16065,P0142,王林卿,,阙,阙,,,有明文,,有明文,漢書,077,叱吏斷頭持還，縣所剝鼓置都亭下，署曰：「故侍中王林卿坐殺人埋冢舍，使奴剝寺門鼓
16066,P0142,王林卿,,阙,阙,,,有明文,,有明文,漢書,100下,晉灼曰：「何並斬侍中王林卿奴，是立志也
16067,P0143,王歙,,阙,阙,,,有明文,,有明文,後漢書,第四章:宗室四王三侯列传,更始立，歙从入关，封为元氏王，终为侍中
16068,P0143,王歙,,阙,阙,,,有明文,,有明文,後漢書,14,更始立，歙從入關，封為元氏王，終為侍中
16069,P0144,王沈,,阙,阙,,,有明文,,有明文,三國志,卷4少帝纪,呼侍中王沈、散騎常侍王業、尚書王經，出懷中黃素詔示之
16070,P0144,王沈,,阙,阙,,,有明文,,有明文,三國志,卷4,乃召侍中王沈、尚書王經、散騎常侍王業
16071,P0145,王粲,,阙,阙,,,有明文,,有明文,三國志,卷21王卫二刘傅传,是行也，侍中王粲作五言詩以美其事
16072,P0145,王粲,,阙,阙,,,有明文,,有明文,三國志,卷21,魏侍中王粲識舊珮，始復作之
16073,P0146,王能,,阙,阙,,,有明文,,有明文,漢書,019,衞尉王能為侍中光祿勳，二年貶為弘農，坐呂寬自殺
16074,P0147,王舜,,阙,阙,,,有明文,,有明文,漢書,卷九十八,侍中太僕安陽侯舜往時護太子家，導朕，忠誠專一，有舊恩
16075,P0148,王莽,,阙,阙,,,有明文,,有明文,漢書,099上,遷騎都尉光祿大夫侍中，宿衛謹敕，爵位益尊，節操愈謙
16076,P0149,王蕃,,阙,阙,,,有明文,,有明文,三國志,卷65王楼贺韦华传,孫皓即位……為侍中，常領左國史
16077,P0150,王辅,,阙,阙,,,有明文,,有明文,全後漢文,卷七,深恐在所慢違「如在」之義，今遣侍中王輔等，持節分詣岱山、東海、滎陽、河、洛，盡心祈焉
16078,P0150,王辅,,阙,阙,,,有明文,,有明文,後漢書,6,）今遣侍中王輔等，持節分詣岱山、東海、滎陽、河、洛，盡心祈焉
16079,P0150,王辅,,阙,阙,,,有明文,,有明文,後漢書,第七章:孝顺孝冲孝质帝纪,深恐在所慢违'如在'之义，今遣侍中王辅等，持节分诣岱山、东海、荥阳、河、洛，尽心祈焉
16080,P0151,王逸,,阙,阙,,,有明文,,有明文,後漢書,卷110文苑上,王逸字叔師，南郡宜城人也
16081,P0151,王逸,,阙,阙,,,有明文,,有明文,後漢書,卷110,順帝時，為侍中
16082,P0151,王逸,,阙,阙,,,有明文,,有明文,隸釋,卷027,漢侍中王逸碑
16083,P0152,王邑,,阙,阙,,,有明文,,有明文,漢書,第五十八章:何武王嘉师丹传,出侍中王邑、射声校尉王邯等
16084,P0152,王邑,,阙,阙,,,有明文,,有明文,全漢文,卷四十八,前大行尸柩在堂，而官爵臣等㠯及親屬，赫然皆貴寵，封舅爲陽安矦，皇后尊號未定，豫封父爲孔鄕矦，出侍中王邑、射聲校尉王邯等
16085,P0152,王邑,,阙,阙,,,有明文,,有明文,漢書,086,出侍中王邑、射聲校尉王邯等
16086,P0152,王邑,,阙,阙,,,有明文,,有明文,漢書,第五十八章:何武王嘉师丹传,莽从弟成都侯王邑为侍中，矫称太皇太后指白哀帝，为莽求特进给事中
16087,P0152,王邑,,阙,阙,,,有明文,,有明文,漢書,086,莽從弟成都侯王邑為侍中，矯稱太皇太后指白哀帝，為莽求特進給事中
16088,P0153,王闳,,阙,阙,,,有明文,,有明文,全漢文,卷四十三,{{*|荀悅《漢紀》二十九︰「【元壽元年】，侍中王閎上書諫，不從
16089,P0154,王音,,阙,阙,,,有明文,,有明文,前漢紀,025,時鳳弟侍中王音私聽之告鳳鳳懼稱病就第乃上¶
16090,P0155,王龚,,阙,阙,,,有明文,,有明文,漢書,卷八十八儒林傳,光祿勳王龔以外屬內卿，與奉車都尉劉歆共校書，三人皆侍中
16091,P0156,班伯,,阙,阙,,,有明文,,有明文,漢書,第七十八章:叙传上,”是时，许商为少府，师丹为光禄大夫，上于是引商、丹入为光禄勋，伯迁水衡都尉，与两师并侍中，皆秩中二千石
16092,P0156,班伯,,阙,阙,,,有明文,,有明文,漢書,100上,是時許商為少府，師丹為光祿勳，上於是引商、丹入為光祿大夫，伯遷水衡都尉，與兩師並侍中，皆秩中二千石
16093,P0157,璩（待考）,,阙,阙,,,有明文,,有明文,三國志,卷二十九方技傳,璩六十一為侍中，直省內，欻見白狗，問之眾人，悉無見者
16094,P0158,甄邯,,阙,阙,,,有明文,,有明文,漢書,第七十五章:王莽传上,莽以大司徒孔光名儒，相三主，太后所敬，天下信之，于是盛尊事光，引光女婿甄邯为侍中奉车都尉
16095,P0158,甄邯,,阙,阙,,,有明文,,有明文,漢書,099上,莽以大司徒孔光名儒，相三主，太后所敬，天下信之，於是盛尊事光，引光女婿甄邯為侍中奉車都尉
16096,P0159,种劭,,阙,阙,,,有明文,,有明文,後漢書,卷76张王种陈列传,及進敗，獻帝即位，拜劭爲侍中
