id,name,dynasty_primary,category,is_外戚,is_士人,is_降人,is_佞幸,is_宦官,is_勋贵,n_terms,n_sources,status
P0150,王辅,东汉,其他,0,0,0,0,0,0,1,1,已校
P0151,王逸,东汉,士人,0,0,0,0,0,0,1,1,已校
P0152,王邑,西汉_新,外戚,0,0,0,0,0,0,1,1,已校
P0153,王闳,西汉,阙,0,0,0,0,0,0,1,1,已校
P0154,王音,西汉,阙,0,0,0,0,0,0,1,1,已校
P0155,王龚,西汉,士人,0,0,0,0,0,0,1,1,已校
P0156,班伯,西汉,士人,0,0,0,0,0,0,1,1,已校
P0157,璩（待考）,魏,待考,0,0,0,0,0,0,1,1,已校
P0158,甄邯,西汉_新,外戚,0,0,0,0,0,0,1,1,已校
P0159,种劭,东汉,士人,0,0,0,0,0,0,1,1,已校
P0160,种辑,汉魏之际,士人,0,0,0,0,0,0,1,1,已校
P0161,窦宪,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0162,窦机,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0163,耿承,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0164,耿箕,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0165,耿纪,汉魏之际,士人,0,0,0,0,0,0,1,1,已校
P0166,苏武,西汉,士人,0,0,0,0,0,0,1,1,已校
P0167,荀勖,魏_晋,士人,0,0,0,0,0,0,1,1,已校
P0168,荀悦,东汉,阙,0,0,0,0,0,0,1,1,已校
P0169,荀顗,魏_晋,士人,0,0,0,0,0,0,1,1,已校
P0170,萧育,东汉,士人,0,0,0,0,0,0,1,1,已校
P0171,董允,蜀汉,士人,0,0,0,0,0,0,1,1,已校
P0172,董贤,西汉,佞幸,0,0,0,0,0,0,1,1,已校
P0173,蔡玄,东汉,士人,0,0,0,0,0,0,1,1,已校
P0174,蔡茂,东汉,士人,0,0,0,0,0,0,1,1,已校
P0175,蔡邕,东汉,阙,0,0,0,0,0,0,1,1,已校
P0176,虞子和,东汉,宗室/勋贵,0,0,0,0,0,0,1,1,已校
P0177,袁隗,东汉,士人,0,0,0,0,0,0,1,1,已校
P0178,许允,魏,士人,0,0,0,0,0,0,1,1,已校
P0179,许延寿,西汉,阙,0,0,0,0,0,0,1,1,已校
P0180,许慎,东汉,士人,0,0,0,0,0,0,1,0,已校
P0181,许相,东汉,其他,0,0,0,0,0,0,1,1,已校
P0182,许章,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0183,诸葛瞻,蜀汉,宗室/勋贵,0,0,0,0,0,0,1,1,已校
